title,console,publisher,developer,critic_score,user_score,total_sale,na_sale,pal_sale,japan_sale,other_sale,release_date
Tetris 2 + Bombliss    ,NES,BPS  ,ChunSoft  ,N/A  ,N/A  ,0.32m,N/A,N/A,0.32m,N/A,13th Dec 91  
Puzzle & Dragons X: God Chapter / Dragon Chapter    ,3DS,GungHo Online Entertainment  ,GungHo Online Entertainment  ,N/A  ,N/A  ,0.32m,N/A,N/A,0.32m,N/A,28th Jul 16  
Bust-A-Move Universe    ,3DS,Square Enix  ,Arika  ,5.6  ,N/A  ,0.31m,0.08m,0.15m,0.06m,0.02m,27th Mar 11  
Catherine    ,X360,Atlus  ,Atlus  ,7.9  ,N/A  ,0.31m,0.20m,0.06m,0.03m,0.02m,26th Jul 11  
7 Wonders II    ,DS,Mumbo Jumbo  ,MumboJumbo  ,N/A  ,N/A  ,0.31m,0.13m,0.15m,N/A,0.03m,28th Jul 10  
Foto Frenzy: Spot The Diffrence    ,DS,Storm City Games  ,Storm City Games  ,N/A  ,N/A  ,0.31m,0.29m,N/A,N/A,0.02m,17th Nov 09  
Math Play    ,DS,Natsume  ,Denyu-Sha  ,N/A  ,N/A  ,0.31m,0.28m,0.00m,N/A,0.02m,24th Sep 07  
Spin Jam    ,PS,Empire Interactive  ,H2O Entertainment  ,N/A  ,N/A  ,0.31m,0.17m,0.12m,N/A,0.02m,24th Sep 00  
KuruKuru Kururin    ,GBA,Nintendo  ,Eighting/Raizing  ,7.2  ,N/A  ,0.31m,N/A,N/A,0.30m,0.01m,22nd Jun 01  
Lumines ll    ,PSP,Buena Vista  ,Q Entertainment  ,8.0  ,N/A  ,0.30m,0.12m,0.12m,N/A,0.07m,06th Nov 06  
Puyo Puyo 7    ,DS,Sega  ,Sega  ,N/A  ,N/A  ,0.30m,N/A,N/A,0.30m,N/A,30th Jul 09  
Super Bomberman 5    ,SNES,Hudson Soft  ,Hudson Soft  ,N/A  ,N/A  ,0.30m,N/A,N/A,0.30m,0.00m,28th Feb 97  
Angry Birds: Star Wars    ,PS3,Activision  ,Exient Entertainment  ,N/A  ,N/A  ,0.30m,0.10m,0.15m,N/A,0.05m,29th Oct 13  
I Spy: Spooky Mansion    ,Wii,Storm City Games  ,Storm City Games  ,N/A  ,N/A  ,0.30m,0.27m,N/A,N/A,0.02m,19th Oct 10  
TouchMaster: Connect    ,DS,Warner Bros. Interactive  ,DoubleTap Games  ,N/A  ,N/A  ,0.29m,0.10m,0.16m,N/A,0.03m,07th Dec 10  
The New Tetris    ,N64,Nintendo  ,H2O Interactive  ,N/A  ,N/A  ,0.29m,0.22m,0.05m,0.02m,0.00m,31st Jul 99  
Mah Jong Quest: Expeditions    ,DS,Activision  ,Game Brains  ,N/A  ,N/A  ,0.29m,0.02m,0.26m,N/A,0.01m,16th Oct 07  
Puzzle Quest: Challenge of the Warlords    ,Wii,D3 Publisher  ,Vicious Cycle  ,N/A  ,N/A  ,0.29m,0.26m,0.00m,N/A,0.02m,30th Nov 07  
Feel the Magic XY/XX    ,DS,Sega  ,Sonic Team  ,7.7  ,N/A  ,0.29m,0.17m,0.00m,0.10m,0.02m,16th Nov 04  
Neopets Puzzle Adventure    ,DS,Capcom  ,Infinite Interactive  ,N/A  ,N/A  ,0.29m,0.26m,0.00m,N/A,0.02m,25th Nov 08  
Jewel Quest Mysteries: Curse of the Emerald Tear    ,DS,Avanquest  ,TBD  ,N/A  ,N/A  ,0.28m,N/A,0.25m,N/A,0.04m,23rd Apr 10  
Carol Vorderman's Sudoku    ,PS2,Eidos Interactive  ,Empire Interactive  ,7.4  ,N/A  ,0.28m,N/A,0.23m,N/A,0.05m,06th Mar 07  
Cake Mania 2: Jill's Next Adventure!    ,DS,Majesco  ,Digital Embryo  ,N/A  ,N/A  ,0.28m,0.26m,0.00m,N/A,0.02m,24th Jun 08  
Angry Birds: Star Wars    ,X360,Activision  ,Exient Entertainment  ,N/A  ,N/A  ,0.28m,0.16m,0.10m,N/A,0.02m,29th Oct 13  
Puyo Puyo! 15th Anniversary    ,DS,Sega  ,Sega  ,N/A  ,N/A  ,0.28m,N/A,N/A,0.28m,N/A,14th Dec 06  
M&M's Blast!    ,GBA,Majesco  ,Pipe Dream Interactive  ,N/A  ,N/A  ,0.27m,0.20m,0.07m,N/A,0.00m,01st Dec 01  
Angry Birds: Star Wars    ,Wii,Activision  ,Exient Entertainment  ,N/A  ,N/A  ,0.27m,0.15m,0.10m,N/A,0.02m,29th Oct 13  
Pac-Pix    ,DS,Namco  ,Namco  ,6.8  ,N/A  ,0.27m,0.16m,0.00m,0.10m,0.01m,26th Apr 05  
Ratatouille: Food Frenzy    ,DS,THQ  ,Helixe  ,N/A  ,N/A  ,0.27m,0.25m,0.00m,N/A,0.02m,29th Oct 07  
